294,95,21301,83.11,83.09,42.11,79.69,68.44,30.38,100.82,77.11,109.68,109.47,72.9,6162.284588744588,0.0,4.47,6.67,4.0,4.95,3.37,88.03,92.64,90.54,82.99,89.29,7.5,0.69,5.46,12.06,7.35,1.64,0.69,1.69,2.18,0.4
295,97,15675,52.33,52.33,22.63,55.02,29.99,13.08,61.04,33.41,77.91,56.12,40.26,6162.284588744588,0.0,3.04,4.82,1.8,5.08,3.29,90.08,94.95,91.85,86.4,88.2,6.88,0.23,6.35,8.52,8.5,3.71,0.23,4.03,4.37,0.82
296,99,33198,55.51,55.51,35.98,59.19,25.0,8.73,62.42,57.64,90.21,46.04,23.92,6162.284588744588,0.0,7.63,7.0,7.45,8.96,4.78,74.92,90.97,71.3,76.56,86.31,17.44,2.04,21.26,14.48,8.92,7.82,2.04,10.66,4.32,1.47
297,5,1151149,93.59,93.43,70.25,88.26,83.38,47.45,106.19,88.33,105.36,119.54,90.74,6162.284588744588,0.0,2.3,2.23,1.98,2.72,2.21,89.97,96.97,92.19,85.81,90.67,7.73,0.79,5.83,11.46,7.12,6.48,0.79,5.92,9.37,3.17
298,8,542750,92.75,92.38,64.16,89.39,78.67,49.83,100.38,94.39,106.35,101.76,85.96,6162.284588744588,0.0,1.41,1.4,1.46,1.49,1.0,94.04,95.48,94.41,92.64,95.83,4.55,3.12,4.14,5.88,3.17,4.27,3.12,3.98,6.05,2.13
299,11,1181597,96.41,95.89,69.15,93.79,89.06,57.3,104.74,85.9,106.07,111.81,97.06,6162.284588744588,0.0,0.46,0.52,0.5,0.38,0.55,94.4,99.06,96.29,92.11,92.12,5.14,0.42,3.21,7.51,7.33,3.75,0.42,3.14,5.71,2.27
300,13,466941,98.91,98.8,66.16,96.52,81.8,47.79,110.4,104.42,117.7,114.19,87.6,6162.284588744588,0.0,2.03,1.77,1.75,2.52,1.93,94.06,95.83,95.1,92.1,94.33,3.91,2.4,3.15,5.38,3.74,5.92,2.4,5.99,7.71,3.29
301,15,234540,94.91,94.84,68.86,90.33,89.76,58.72,103.67,89.14,101.34,113.45,96.79,6162.284588744588,0.0,1.7,1.51,1.04,2.15,2.39,90.55,97.68,95.24,85.17,88.39,7.75,0.81,3.71,12.68,9.22,5.42,0.81,3.81,8.55,3.95
302,17,161746,84.65,84.57,63.32,78.77,76.79,49.02,96.32,79.87,92.36,108.42,89.81,6162.284588744588,0.0,2.35,1.52,1.72,3.11,2.49,92.89,98.15,95.24,89.54,92.62,4.76,0.33,3.04,7.35,4.89,6.48,0.33,5.59,9.66,3.27
303,18,98602,88.94,88.91,57.46,88.03,69.09,33.55,101.54,89.18,112.3,101.89,79.78,6162.284588744588,0.0,6.28,5.27,5.67,7.56,5.76,83.74,93.56,85.57,78.78,83.69,9.98,1.17,8.76,13.66,10.54,4.19,1.17,4.34,5.35,2.08
